Year Completed,Number of Purposes,Floors,Rank,Height,Name,Material,City,City ID,Country,Country ID,Longitude,Latitude,ID
1988,1,24,1396,116.0500031,8500 Tower,concrete,Bloomington,1526,US,163,-93.35668945,44.85359955,10471
1975,1,43,1397,116,Century Park Plaza Tower A,concrete,Pearl City (Oahu),2190,US,163,-157.980072,21.39748955,17104
1975,1,43,1397,116,Century Park Plaza Tower B,concrete,Pearl City (Oahu),2190,US,163,-157.9793549,21.39864922,17105
1982,1,27,1399,116,First National Bank Center,steel,San Diego,1677,US,163,-117.1669617,32.7184906,20518
1992,1,24,1401,116,801 Tower,steel,Los Angeles,1611,US,163,-118.2619019,34.04784012,4849
2008,1,34,1403,115.8199997,44 Monroe,concrete,Phoenix,1658,US,163,-112.0747223,33.45058823,8975
1991,1,26,1404,115.8199997,Park Tower,composite,Sacramento,1676,US,163,-121.4950104,38.58110046,18941
1994,2,41,1405,115.8000031,Harbor Court,concrete,Honolulu,1592,US,163,-157.8635559,21.30911064,22329
1998,1,36,1406,115.8000031,Oakwood Yacht Club at Brickell,concrete,Miami,1632,US,163,-80.18894958,25.76280022,18892
1998,1,36,1406,115.8000031,The Millennium,concrete,Sunny Isles Beach,1686,US,163,-80.11969757,25.94877052,20971
2008,1,32,1410,115.8000031,Sapphire Tower,concrete,San Diego,1677,US,163,-117.1695786,32.71857071,20505
2005,1,33,1412,115.75,Kilbourn Tower,concrete,Milwaukee,1634,US,163,-87.89969635,43.04256058,9277
1913,1,28,1414,115.5199966,Oak Tower,concrete,Kansas City,1633,US,163,-94.57872772,39.10123825,15348
2015,1,34,1415,115.5,NINE at Mary Brickell Village,concrete,Miami,1632,US,163,-80.19473267,25.76486969,18732
2015,1,26,1416,115.3700027,535 Mission Street,composite,San Francisco,1683,US,163,-122.39814,37.78889847,18048
2010,1,37,1417,115.3099976,Alta at K Station - West Tower,concrete,Chicago,1539,US,163,-87.6427002,41.8887291,10757
1963,1,36,1418,115.2200012,Outer Drive East,concrete,Chicago,1539,US,163,-87.61637878,41.88476944,9858
1931,1,32,1419,115.2200012,Buffalo City Hall,steel,Buffalo,1530,US,163,-78.87931824,42.88660812,9262
1929,1,29,1420,115.2200012,Shell Building,steel,San Francisco,1683,US,163,-122.3999176,37.79148865,16088
2003,1,32,1421,115.2099991,The Grand Beekman,concrete,New York City,1641,US,163,-73.96550751,40.75413895,16222
1995,1,30,1422,115.2099991,Jehovah`s Witnesses Dormitory,concrete,New York City,1641,US,163,-73.98715973,40.69955063,12010
2006,1,31,1423,115.1999969,Viridian,concrete,Nashville,1640,US,163,-86.77938843,36.16312027,19296
2008,1,34,1424,115,505 West 37th Street West Tower,concrete,New York City,1641,US,163,-73.99858856,40.75714874,9882
2004,1,31,1425,114.9100037,Austin Hilton Covention Center Hotel,concrete,Austin,1510,US,163,-97.73786926,30.26535034,10775
2011,1,30,1426,114.9100037,99 West City Creek Condominium Tower,concrete,Salt Lake City,1687,US,163,-111.8935471,40.76902008,16896
1976,1,42,1427,114.9000015,Endeavor Condominium,concrete,Honolulu,1592,US,163,-157.8381958,21.28565025,22138
1976,1,42,1427,114.9000015,Resolution Condominium,concrete,Honolulu,1592,US,163,-157.8378754,21.28519058,22139
2008,1,32,1429,114.9000015,55 West on the Esplanade,concrete,Orlando,1650,US,163,-81.38033295,28.54076004,18430
1986,1,30,1431,114.9000015,Museum Tower,concrete,Miami,1632,US,163,-80.19711304,25.76987076,16860
1971,1,27,1432,114.9000015,Coastal States Insurance Building,steel,Atlanta,1509,US,163,-84.38793182,33.76158142,20645
1960,1,28,1433,114.7600021,Canadian Pacific Plaza,steel,Minneapolis,1627,US,163,-93.26878357,44.97718048,14520
2011,1,34,1434,114.7099991,JW Marriott Indianapolis Downtown,concrete,Indianapolis,1600,US,163,-86.16780853,39.76676941,10510
2004,1,34,1435,114.6600037,Skyline on Brickell,concrete,Miami,1632,US,163,-80.19895935,25.75251961,10372
1968,1,38,1436,114.6100006,1700 East 56th Street,concrete,Chicago,1539,US,163,-87.58335876,41.79365158,10758
1932,1,27,1437,114.6100006,New York Hospital Cornell Medical Center,steel,New York City,1641,US,163,-73.95374298,40.76504898,16314
1950,1,27,1438,114.5999985,Mutual of New York Building,steel,New York City,1641,US,163,-73.9817276,40.76501846,11617
2003,1,27,1439,114.5,5 Houston Center,concrete,Houston,1593,US,163,-95.36078644,29.75482941,10923
2008,1,39,1440,114.3000031,Avalon on the Sound East,concrete,New Rochelle,1714,US,163,-73.78375244,40.90950012,9602
1982,1,36,1441,114.3000031,Tapa Tower,concrete,Honolulu,1592,US,163,-157.8363037,21.28288078,22601
2015,1,35,1442,114.3000031,The One,concrete,Jersey City,1605,US,163,-74.03775024,40.72161102,18753
2008,1,35,1442,114.3000031,The Pinnacle Honolulu,concrete,Honolulu,1592,US,163,-157.8586884,21.31019974,22141
2008,1,34,1444,114.3000031,1400 Museum Park,concrete,Chicago,1539,US,163,-87.62368774,41.86437988,11094
2004,2,34,1444,114.3000031,Omni San Diego Hotel and The Metropolitan,concrete,San Diego,1677,US,163,-117.1588211,32.70705032,20517
1973,1,31,1446,114.3000031,SunTrust International Center,concrete,Miami,1632,US,163,-80.18846893,25.77349091,16863
1980,1,29,1447,114.3000031,33 West Monroe,steel,Chicago,1539,US,163,-87.62882996,41.88037109,11096
1985,2,26,1448,114.3000031,388 Market Street,steel,San Francisco,1683,US,163,-122.3981705,37.7922287,14158
1982,1,26,1448,114.3000031,Mellon Bank Center,steel,Los Angeles,1611,US,163,-118.2536316,34.05160904,4881
2014,1,36,1451,114.0999985,LPM Apartments,concrete,Minneapolis,1627,US,163,-93.28031158,44.96913147,16257
2009,1,32,1452,114,One Lincoln Park,concrete,Denver,1556,US,163,-104.9865265,39.74779129,9200
1927,1,25,1454,114,Trinity Court,steel,New York City,1641,US,163,-74.01281738,40.70856094,11401
1991,1,24,1455,114,Viad Tower,steel/concrete,Phoenix,1658,US,163,-112.0744629,33.46839142,20648
2009,1,30,1456,113.8799973,Astoria Tower,concrete,Chicago,1539,US,163,-87.62709045,41.87073135,11097
2008,1,39,1457,113.6999969,Capitol Place,concrete,Honolulu,1592,US,163,-157.858017,21.31081009,22407
2008,1,37,1458,113.6999969,The Watermark Waikiki,concrete,Honolulu,1592,US,163,-157.8380737,21.28742981,22142
1962,1,28,1459,113.4599991,City-County Building,steel,Indianapolis,1600,US,163,-86.15345764,39.76795959,10511
1983,1,44,1460,113.4000015,The Windsor,concrete,Honolulu,1592,US,163,-157.8373413,21.28598976,22143
1968,1,43,1461,113.4000015,2800 North Lake Shore Drive,concrete,Chicago,1539,US,163,-87.63715363,41.93312836,13130
1989,1,40,1462,113.4000015,Honolulu Park Place,concrete,Honolulu,1592,US,163,-157.8600311,21.31266022,22522
1990,1,28,1463,113.4000015,Two Renaissance Square,steel,Phoenix,1658,US,163,-112.0746918,33.44903946,20649
1971,2,27,1464,113.4000015,Wells Fargo Plaza,steel,Phoenix,1658,US,163,-112.0755997,33.44860077,20650
1990,1,38,1465,113.3899994,Brookdale Plaza,concrete,Chicago,1539,US,163,-87.63741302,41.93577957,11098
1989,1,28,1466,113.3899994,Renaissance Tower,steel,Sacramento,1676,US,163,-121.4958496,38.5800705,18942
2000,1,27,1467,113.3899994,Fox Tower,steel,Portland,1656,US,163,-122.6807404,45.51847076,15293
2000,1,25,1468,113.3899994,Joe Serna Junior California EPA Building,steel,Sacramento,1676,US,163,-121.491951,38.58190918,18943
1928,1,24,1469,113.3899994,Three AT&T Plaza,steel,Dallas,1554,US,163,-96.79875946,32.77893829,10826
1985,1,28,1470,113.0999985,Meridian Condominiums,concrete,San Diego,1677,US,163,-117.165123,32.71327972,20516
1982,1,34,1471,113.0800018,Sheraton Seattle Hotel,steel,Seattle,1680,US,163,-122.3337936,47.61116028,15307
1968,1,24,1472,113.0800018,One Georgia Center,steel,Atlanta,1509,US,163,-84.38787842,33.7707901,15016
1931,1,18,1473,113.0800018,Camden City Hall,steel,Camden,1538,US,163,-75.12004089,39.94483185,10285
1993,1,41,1474,113,Bristol Tower,concrete,Miami,1632,US,163,-80.19934845,25.75209999,10373
1930,1,24,1475,113,Western Union Building,steel,New York City,1641,US,163,-74.00823212,40.71762848,11403
2000,1,33,1476,112.7799988,Archstone 101 West End,concrete,New York City,1641,US,163,-73.9883194,40.77505875,16339
1927,1,32,1477,112.7799988,11 West 42nd Street,steel,New York City,1641,US,163,-73.98181915,40.75421143,11638
2015,1,26,1478,112.7799988,222 Second Street,steel/concrete,San Francisco,1683,US,163,-122.3982468,37.78633881,17459
1930,1,23,1479,112.7799988,Claridge Tower at Bally`s,steel,Atlantic City,1501,US,163,-74.4318924,39.35763931,10269
1982,1,41,1480,112.75,Franklin Towers,concrete,Honolulu,1592,US,163,-157.9099274,21.34682083,22447
1978,1,40,1481,112.75,Canterbury Place,concrete,Honolulu,1592,US,163,-157.8352356,21.28549957,22520
2009,1,25,1482,112.6500015,Terminus 200,concrete,Atlanta,1509,US,163,-84.37172699,33.84597015,9227
1928,1,35,1483,112.5999985,Broderick Tower Lofts,steel,Detroit,1559,US,163,-83.05040741,42.33557129,10577
1984,1,44,1484,112.5,Ohana Maile Sky Court,concrete,Honolulu,1592,US,163,-157.8308563,21.28395081,22122
1979,1,38,1485,112.5,"Pacific Beach Hotel, Oceanarium Tower",concrete,Honolulu,1592,US,163,-157.8229065,21.27482033,22121
2006,1,35,1486,112.5,NeoVertika,concrete,Miami,1632,US,163,-80.19568634,25.76812935,18900
1987,1,34,1487,112.5,Normandie Court Apartments I,concrete,New York City,1641,US,163,-73.94918823,40.78475189,16690
1986,1,34,1487,112.5,Normandie Court Apartments II-IV,concrete,New York City,1641,US,163,-73.94824219,40.78445053,16691
2015,1,33,1490,112.4199982,Arkadia Tower,concrete,Chicago,1539,US,163,-87.64662933,41.87900162,14683
1992,1,33,1491,112.3399963,Sheraton Chicago Hotel & Towers,concrete,Chicago,1539,US,163,-87.61984253,41.88899994,10020
2008,1,32,1492,112.2200012,1720 South Michigan,concrete,Chicago,1539,US,163,-87.62425995,41.85861969,11100
2000,1,39,1493,112.1999969,Bay Parc Plaza,concrete,Miami,1632,US,163,-80.18731689,25.79305077,18901
1993,2,36,1494,112.1999969,Treasure Island Hotel & Casino,concrete,Las Vegas,1610,US,163,-115.1719894,36.1247406,14139
1984,1,29,1495,112.1999969,Chiquita Center,steel,Cincinnati,1550,US,163,-84.50856781,39.10229111,21079
1932,1,27,1496,112.1999969,National City Bank Building,steel,Toledo,1701,US,163,-83.53514862,41.65132141,14173
1994,1,20,1497,112.1999969,Phoenix City Hall,concrete,Phoenix,1658,US,163,-112.0773926,33.44873047,20670
2008,2,38,1498,112.1699982,Grand Waikikian,concrete,Honolulu,1592,US,163,-157.837326,21.28397942,9206
2007,1,36,1499,112.1699982,Chelsea Landmark,concrete,New York City,1641,US,163,-73.99141693,40.74436188,11517
2012,1,32,1500,112.1699982,The Admiral at the Lake,concrete,Chicago,1539,US,163,-87.65316772,41.97610092,12337
2009,1,26,1501,112.1600037,New United States Mission to the United Nations,concrete,New York City,1641,US,163,-73.96888733,40.7507019,13927
1991,1,22,1504,112,Roybal Federal Building,steel,Los Angeles,1611,US,163,-118.2390823,34.05281067,4916
1966,1,42,1506,111.8600006,Hawthorne House,concrete,Chicago,1539,US,163,-87.64215088,41.94504929,11101
2004,1,34,1507,111.8600006,1111 South Wabash,concrete,Chicago,1539,US,163,-87.6254425,41.86878967,11102
1973,1,28,1508,111.8600006,177 Huntington,concrete,Boston,1524,US,163,-71.0827713,42.34494019,22473
1970,1,27,1509,111.8600006,Standard Insurance Center,steel,Portland,1656,US,163,-122.6779938,45.51702881,16722
1925,1,29,1510,111.5999985,Buhl Building,steel,Detroit,1559,US,163,-83.04679108,42.3294487,17924
1989,1,36,1511,111.5599976,One East Delaware,concrete,Chicago,1539,US,163,-87.62801361,41.89891815,11103
1982,1,34,1512,111.5599976,Hotel Inter-Continental Miami,concrete/steel,Miami,1632,US,163,-80.18592834,25.7727108,16857
2013,1,33,1513,111.5599976,K2 at K Station,concrete,Chicago,1539,US,163,-87.64674377,41.8887291,13244
2006,1,36,1514,111.4100037,Left Bank at K Station,concrete,Chicago,1539,US,163,-87.64035797,41.88711929,10505
2001,1,34,1515,111.3000031,Kinzie Park Tower,concrete,Chicago,1539,US,163,-87.64238739,41.89089966,13131
1930,1,29,1516,111.25,Sterick Building,steel,Memphis,1626,US,163,-90.04992676,35.14471817,10518
1993,1,28,1517,111.25,Hillsborough County Center,steel,Tampa,1702,US,163,-82.45471954,27.94831085,10302
1927,1,22,1518,111.25,Ohio Bell Huron Building,steel,Cleveland,1543,US,163,-81.68652344,41.49813843,9851
2007,1,35,1519,111.1999969,Avenue Southeast First Tower,concrete,Miami,1632,US,163,-80.19226837,25.76354027,18902
1976,1,27,1520,111,Steuart Tower,steel,San Francisco,1683,US,163,-122.3937531,37.79335022,16109
2008,1,36,1522,110.6999969,Echelon at K Station,concrete,Chicago,1539,US,163,-87.6440506,41.88837051,13134
1985,1,35,1523,110.6399994,Manhattan Place,concrete,New York City,1641,US,163,-73.97174072,40.74517822,11731
2010,1,34,1524,110.6399994,InterContinental New York Times Square,concrete,New York City,1641,US,163,-73.9894104,40.75851822,11379
1923,1,30,1525,110.6399994,Pershing Square Building,steel,New York City,1641,US,163,-73.97747803,40.75157166,11692
1996,2,25,1526,110.6399994,1 Times Square,steel,New York City,1641,US,163,-73.98657227,40.7562294,15984
1971,1,20,1527,110.6399994,Rhodes Tower,steel,Cleveland,1543,US,163,-81.6753006,41.50326157,10564
1987,1,39,1528,110.4000015,Royal Capitol Plaza,concrete,Honolulu,1592,US,163,-157.855484,21.30195999,22406
2004,1,31,1529,110.3799973,240 Riverside Boulevard at Trump Place,concrete,New York City,1641,US,163,-73.98715973,40.78026962,11892
1979,2,43,1530,110.3499985,Hawaiian Monarch Hotel,concrete,Honolulu,1592,US,163,-157.8325348,21.28718948,22446
1978,1,38,1531,110.3399963,Royal Iolani Diamond Head Tower,concrete,Honolulu,1592,US,163,-157.8234863,21.2858696,22539
1978,1,38,1531,110.3399963,Royal Iolani Ewa Tower,concrete,Honolulu,1592,US,163,-157.8240662,21.2864399,22538
2001,1,36,1533,110.3399963,The Waverly at South Beach,concrete,Miami Beach,1622,US,163,-80.14350891,25.78476906,20954
1990,2,37,1534,110.3000031,The Chicagoan,concrete,Chicago,1539,US,163,-87.62581635,41.89646149,13135
1970,1,30,1535,110.3000031,One Illinois Center,concrete,Chicago,1539,US,163,-87.62346649,41.88763046,13136
1968,1,38,1536,110,Edgewater Plaza North,concrete,Chicago,1539,US,163,-87.65447235,41.98173141,13138
2015,1,36,1537,110,Bay House Miami Residences,concrete,Miami,1632,US,163,-80.18662262,25.8031292,18727
1984,1,25,1538,110,San Diego Marriott Marquis & Marina Tower 1,steel,San Diego,1677,US,163,-117.1658173,32.70840836,20515
1987,1,25,1538,110,San Diego Marriott Marquis & Marina Tower 2,steel,San Diego,1677,US,163,-117.1649704,32.70793915,20514
2013,1,18,1540,110,Edith Green-Wendell Wyatt Federal Building,steel,Portland,1656,US,163,-122.6769791,45.514431,16732
1987,1,22,1541,109.7699966,101 West Ohio,concrete,Indianapolis,1600,US,163,-86.16017151,39.76972961,10512
2015,1,32,1542,109.7300034,Halcyon,concrete,New York City,1641,US,163,-73.96750641,40.75553894,3753
1983,1,29,1543,109.7300034,520 Pike Tower,steel,Seattle,1680,US,163,-122.335022,47.61132813,15299
2009,1,28,1544,109.7300034,West 8th,steel,Seattle,1680,US,163,-122.3372421,47.61574173,15300
1924,1,25,1545,109.7300034,The Allerton Hotel Chicago,steel,Chicago,1539,US,163,-87.62367249,41.89519119,10472
1986,1,24,1546,109.7300034,250 West Pratt Street,steel,Baltimore,1514,US,163,-76.61876678,39.2867012,10597
1967,1,39,1547,109.6999969,2 East Oak Street,concrete,Chicago,1539,US,163,-87.62796783,41.90089035,13140
2000,1,36,1548,109.6999969,Chestnut Tower,concrete,Chicago,1539,US,163,-87.63244629,41.89767075,13139
2008,1,32,1549,109.6999969,Sheraton Phoenix Downtown,concrete/steel,Phoenix,1658,US,163,-112.0706024,33.4523201,20671
2010,1,31,1550,109.6999969,Walton on the Park South Tower,concrete,Chicago,1539,US,163,-87.62876892,41.89939117,13141
2009,1,30,1551,109.6999969,Escala,concrete,Seattle,1680,US,163,-122.3394012,47.61299133,14248
1928,1,28,1553,109.6999969,Miami-Dade County Courthouse,concrete,Miami,1632,US,163,-80.1950531,25.77459908,18821
2000,1,23,1554,109.6999969,Bank of America Tower,concrete/steel,Phoenix,1658,US,163,-112.070488,33.44797134,20672
1985,1,35,1555,109.1200027,River Gate Apartments,concrete,New York City,1641,US,163,-73.97251129,40.74383163,15578
1986,1,27,1556,109.0999985,City Center,composite,Bellevue,1532,US,163,-122.1956024,47.61508179,22148
2009,1,26,1557,109.0999985,Ovation,concrete,St. Petersburg (FL),1660,US,163,-82.63368988,27.77313042,20950
1989,1,28,1558,109,Figueroa Tower,steel,Los Angeles,1611,US,163,-118.2593994,34.04941177,4968
1972,1,37,1559,108.9000015,Regents Park South,concrete,Chicago,1539,US,163,-87.5848999,41.80278015,13905
2009,1,32,1560,108.9000015,1600 Museum Park,concrete,Chicago,1539,US,163,-87.62033081,41.85948181,13906
1965,1,30,1563,108.8000031,New World Tower,steel,Miami,1632,US,163,-80.18795776,25.77556038,20594
2006,1,30,1563,108.8000031,Solaire at the Plaza,concrete,Orlando,1650,US,163,-81.37766266,28.54076004,18431
2000,1,30,1565,108.6299973,Sofitel New York Hotel,concrete,New York City,1641,US,163,-73.98168945,40.75590897,15586
1983,1,28,1566,108.5100021,Eaton Center,concrete,Cleveland,1543,US,163,-81.6869278,41.50352097,10565
2013,1,34,1567,108.5,2116 Chestnut,concrete,Philadelphia,1657,US,163,-75.17658997,39.95217133,13232
1980,1,27,1569,108.5,3300 North Central Avenue,steel,Phoenix,1658,US,163,-112.0743103,33.48698044,20673
1987,1,26,1570,108.3600006,Fifth Street Towers I,composite,Minneapolis,1627,US,163,-93.26869965,44.97838974,14519
1970,1,23,1571,108.2099991,Westinghouse Tower,steel,Pittsburgh,1661,US,163,-80.00627899,40.43906021,9838
1983,1,35,1572,108.1999969,The Columbia,concrete,New York City,1641,US,163,-73.97228241,40.79521942,17651
2006,1,29,1573,108.1999969,ParkShore Plaza,concrete,St. Petersburg (FL),1660,US,163,-82.63301849,27.77549934,20966
1999,1,22,1574,108.1999969,Esquire Plaza,steel,Sacramento,1676,US,163,-121.4898529,38.57846069,18944
2015,1,32,1575,108,Hunter's Point South Tower 2,concrete,New York City,1641,US,163,-73.95900726,40.74250031,15752
1999,1,26,1577,108,101 Second Street,steel,San Francisco,1683,US,163,-122.3990936,37.78820038,16102
2004,1,35,1578,107.9000015,One City Place,concrete,White Plains,1723,US,163,-73.76519012,41.03277969,9600
2005,1,35,1578,107.9000015,Trump Tower at City Center,concrete,White Plains,1723,US,163,-73.76441956,41.03223038,9599
2001,1,33,1580,107.9000015,160 Riverside Boulevard at Trump Place,concrete,New York City,1641,US,163,-73.98847198,40.77772141,11891
1999,1,25,1581,107.5999985,Glendale Plaza,steel,Glendale,1606,US,163,-118.258522,34.1556015,15317
2010,1,32,1582,107.3000031,Azure,concrete,New York City,1641,US,163,-73.94715118,40.78042984,13926
2003,1,31,1583,107.3000031,Post Toscana Apartments,concrete,New York City,1641,US,163,-73.94814301,40.77914047,17548
1996,1,24,1584,107.3000031,Cozumel at Cape Marco in Marco Island,concrete,Marco Island,2312,US,163,-81.72881317,25.9095192,20951
1973,1,38,1586,107,Yacht Harbor Tower II,concrete,Honolulu,1592,US,163,-157.8406525,21.28906059,22331
1980,1,34,1587,107,Crowne Plaza Hotel Downtown Seattle,composite,Seattle,1680,US,163,-122.3321381,47.608181,23531
2004,2,32,1588,107,Trump International Beach Resort,concrete,Sunny Isles Beach,1686,US,163,-80.12058258,25.9432106,22895
1984,1,28,1589,107,Atrium Two,concrete,Cincinnati,1550,US,163,-84.50804138,39.1003418,21081
1991,1,28,1589,107,KPMG Center,steel,Los Angeles,1611,US,163,-118.2556534,34.04970932,10766
1992,1,25,1591,106.9800034,Capitol Square,concrete,Sacramento,1676,US,163,-121.5026932,38.57738876,18945
1974,1,42,1592,106.6999969,Regency Tower,concrete,Honolulu,1592,US,163,-157.822876,21.28648949,22450
