"","Year.Completed","Number.of.Purposes","Floors","Rank","Height","Name","Material","City","City.ID","Country","Country.ID","Longitude","Latitude","ID"
"1",2014,1,94,4,541.2999878,"One World Trade Center","composite","New York City",1641,"US",163,-74.01335144,40.71311188,98
"2",1974,1,108,8,442.1400146,"Willis Tower","steel","Chicago",1539,"US",163,-87.63594818,41.8788681,169
"3",1996,1,0,22,350.2200012,"Stratosphere Tower","concrete","Las Vegas",1610,"US",163,-115.1554337,36.1473999,9401
"4",1962,1,0,27,329,"WITI TV Tower","steel","Shorewood",2217,"US",163,-87.89720917,43.0906105,17720
"5",1992,1,55,35,311.7999878,"Bank of America Plaza","composite","Atlanta",1509,"US",163,-84.38601685,33.7707901,429
"6",1990,1,73,38,310.2900085,"U.S. Bank Tower","steel","Los Angeles",1611,"US",163,-118.2543564,34.05104065,445
"7",1982,1,75,42,305.4100037,"JPMorgan Chase Tower","composite","Houston",1593,"US",163,-95.36390686,29.76041985,472
"8",2008,1,57,48,296.730011,"Comcast Center","composite","Philadelphia",1657,"US",163,-75.16847992,39.95473862,546
"9",1991,1,57,52,288.6499939,"Key Tower","composite","Cleveland",1543,"US",163,-81.69390869,41.50099945,585
"10",1984,1,76,55,284.3800049,"Columbia Center","composite","Seattle",1680,"US",163,-122.3305969,47.60464096,611
"11",1985,1,72,57,280.7200012,"Bank of America Plaza","composite","Dallas",1554,"US",163,-96.80393982,32.78004074,630
"12",1992,1,60,66,265.480011,"Bank of America Corporate Center","concrete","Charlotte",1544,"US",163,-80.84208679,35.22729111,711
"13",1972,1,48,75,260,"Transamerica Pyramid","composite","San Francisco",1683,"US",163,-122.4027328,37.79523849,772
"14",2012,1,52,80,257.230011,"Devon Energy Center","concrete","Oklahoma City",1645,"US",163,-97.51763153,35.46686172,623
"15",1970,1,64,83,256.3399963,"U.S. Steel Tower","steel","Pittsburgh",1661,"US",163,-79.99463654,40.44129181,801
"16",1973,1,55,98,241.3800049,"IDS Tower","composite","Minneapolis",1627,"US",163,-93.27263641,44.9759903,968
"17",1976,1,62,100,240.7899933,"200 Clarendon","steel","Boston",1524,"US",163,-71.07510376,42.34931946,974
"18",2003,3,64,101,240.4100037,"Four Seasons Hotel & Tower","concrete","Miami",1632,"US",163,-80.19177246,25.75902939,977
"19",2004,1,42,105,238.0500031,"30 Hudson Street","steel","Jersey City",1605,"US",163,-74.03375244,40.7129097,1025
"20",2007,1,35,137,227.0800018,"RSA Battle House Tower","steel/concrete","Mobile",1635,"US",163,-88.03991699,30.69330025,1155
"21",1977,1,70,154,221.4900055,"Detroit Marriott at the Renaissance Center","concrete","Detroit",1559,"US",163,-83.03968811,42.32899094,1225
"22",2012,2,53,164,218.9199982,"Revel Resort and Casino","concrete","Atlantic City",1501,"US",163,-74.4148407,39.36246872,1322
"23",1984,1,56,169,217.6300049,"Republic Plaza","steel","Denver",1556,"US",163,-104.9885101,39.74354935,1307
"24",1990,1,49,179,213.6699982,"Chase Tower","steel","Indianapolis",1600,"US",163,-86.15712738,39.76958084,903
"25",1972,1,51,185,212.4499969,"One Shell Square","composite","New Orleans",1636,"US",163,-90.07080841,29.95025063,1405
"26",2010,1,56,201,208.1499939,"The Austonian","concrete","Austin",1510,"US",163,-97.74465942,30.26482964,1501
"27",1975,1,52,220,203.3000031,"BOK Tower","steel","Tulsa",1706,"US",163,-95.9906311,36.15523148,1598
"28",2011,1,40,223,202.6900024,"Great American Tower at Queen City Square","composite","Cincinnati",1550,"US",163,-84.50692749,39.09972,1636
"29",2015,1,46,260,196,"Mansions at Acqualina","concrete","Sunny Isles Beach",1686,"US",163,-80.12055206,25.94004059,15110
"30",2002,1,45,274,193.25,"One First National Center","composite","Omaha",1646,"US",163,-95.93756866,41.25901031,1875
"31",1988,1,42,299,189.8899994,"One Kansas City Place","concrete","Kansas City",1633,"US",163,-94.58377075,39.09970093,1895
"32",1968,1,0,301,189.5899963,"Tower of the Americas","concrete","San Antonio",1678,"US",163,-98.48355103,29.41902924,9604
"33",1973,1,42,338,183.1900024,"U.S. Bank Center","steel","Milwaukee",1634,"US",163,-87.90196228,43.03828049,2189
"34",1988,1,42,360,180.75,"One Metropolitan Square","composite","St. Louis",1693,"US",163,-90.18955231,38.62741089,2278
"35",1992,1,42,391,176.4799957,"Regions Building","steel","Tampa",1702,"US",163,-82.45822144,27.94551086,2474
"36",1939,2,0,421,173.6999969,"San Jacinto Monument","masonry","La Porte",2270,"US",163,-95.08071136,29.74986076,18678
"37",2000,1,44,446,170.3899994,"Blue Diamond Tower","concrete","Miami Beach",1622,"US",163,-80.12142181,25.82324028,2708
"38",2000,1,44,446,170.3899994,"Green Diamond Tower","concrete","Miami Beach",1622,"US",163,-80.12155914,25.82239914,2709
"39",1927,1,47,455,169.3000031,"Leveque Tower","steel","Columbus",1545,"US",163,-83.0021286,39.96237183,2802
"40",1884,1,0,462,169.0500031,"Washington Monument","masonry","Washington D.C.",1719,"US",163,-77.03523254,38.88946915,13977
"41",1992,1,35,489,167.3399963,"400 West Market","composite","Louisville",1620,"US",163,-85.75713348,38.25495148,2938
"42",1973,1,40,498,166.4199982,"Wells Fargo Center","steel","Portland",1656,"US",163,-122.6793518,45.51433945,2973
"43",2008,1,32,527,163.9799957,"RBC Plaza","concrete","Raleigh",1667,"US",163,-78.6400528,35.77434921,3118
"44",1975,1,37,535,163.0700073,"Modis Tower","steel","Jacksonville",1604,"US",163,-81.65886688,30.32585907,3171
"45",1973,1,40,554,161.2400055,"Legg Mason Building","concrete","Baltimore",1514,"US",163,-76.61444092,39.28723145,3252
"46",1919,1,24,563,160.6300049,"Travelers Tower","steel","Hartford",1591,"US",163,-72.67266083,41.76440811,3285
"47",1965,1,40,566,160.3000031,"Vehicle Assembly Building","steel","Cape Canaveral",1546,"US",163,-80.65075684,28.58600998,3337
"48",2007,2,38,643,154.8399963,"The Westin Virginia Beach Town Center & Residences","concrete","Virginia Beach",1716,"US",163,-76.13604736,36.84152985,3695
"49",2006,1,50,650,153.9299927,"The Beach Club Tower 2","concrete","Hallandale Beach",1588,"US",163,-80.11831665,25.98493958,3712
"50",1991,1,34,684,152.3999939,"One America Plaza","steel","San Diego",1677,"US",163,-117.1687317,32.7161293,3860
"51",2014,1,47,689,151.8000031,"The Modern Tower A","concrete","Fort Lee",1576,"US",163,-73.9664917,40.85226059,14316
"52",1986,1,30,729,149.3500061,"Fifth Third Center","concrete","Nashville",1640,"US",163,-86.78018188,36.16378021,9509
"53",2002,1,34,739,148.4400024,"Mohegan Sun Sky Tower","steel","Montville",1623,"US",163,-72.08888245,41.49235916,9508
"54",2009,1,44,754,147.5200043,"The Residences at the Ritz Carlton, Westchester - North Tower","concrete","White Plains",1723,"US",163,-73.76799011,41.03348923,9597
"55",2008,2,44,754,147.5200043,"The Residences at the Ritz Carlton, Westchester - South Tower","concrete","White Plains",1723,"US",163,-73.76731873,41.03279114,9598
"56",1972,1,40,763,147.2200012,"Chase Tower","steel","Phoenix",1658,"US",163,-112.0730972,33.45087814,8894
"57",1987,1,37,822,143.6100006,"Wells Fargo Place","concrete","St. Paul",1694,"US",163,-93.09552002,44.94815063,10655
"58",1931,1,34,850,141.7299957,"National Newark Building","steel","Newark",1570,"US",163,-74.1709671,40.73667145,9215
"59",1995,1,34,870,140.2100067,"100 North Main Street","steel","Winston-Salem",1601,"US",163,-80.24395752,36.0954895,9790
"60",1932,1,34,870,140.2100067,"Louisiana State Capitol","steel","Baton Rouge",1528,"US",163,-91.18733978,30.45693016,9481
"61",1988,1,32,873,140.1999969,"The Tower","concrete","Burbank",1531,"US",163,-118.3426208,34.15295029,12741
"62",1975,1,36,875,140.1100006,"Ruan Center","steel","Des Moines",1557,"US",163,-93.62602234,41.58732986,9484
"63",2004,1,42,913,137.7700043,"Las Olas River House I","concrete","Fort Lauderdale",1574,"US",163,-80.14186859,26.11808014,10288
"64",2008,1,43,928,137.1600037,"Bellevue Towers Two","concrete","Bellevue",1532,"US",163,-122.1982117,47.61450958,10068
"65",2005,2,42,929,137.1600037,"One Lincoln Tower","composite","Bellevue",1532,"US",163,-122.2006378,47.61582947,10070
"66",2009,2,33,952,136.25,"Omni Fort Worth Hotel","concrete","Fort Worth",1579,"US",163,-97.32848358,32.74818039,4428
"67",2002,1,39,962,135.3300018,"The Westin Diplomat Resort","concrete","Hollywood",1596,"US",163,-80.11788177,25.99168968,10328
"68",1968,1,30,968,135.0299988,"Xerox Tower","steel","Rochester",1674,"US",163,-77.60449982,43.15451813,9773
"69",1982,1,27,976,134.7200012,"One Summit Square","concrete","Fort Wayne",1578,"US",163,-85.13886261,41.07762146,9485
"70",1988,1,30,977,134.4199982,"SunTrust Center","concrete","Orlando",1650,"US",163,-81.37966919,28.53998947,10294
"71",2007,1,40,1019,132.5899963,"Trump Plaza","concrete","New Rochelle",1714,"US",163,-73.78163147,40.91242981,9601
"72",1965,1,37,1045,131.0700073,"100 North Main Building","concrete","Memphis",1626,"US",163,-90.05095673,35.14770126,9504
"73",1996,1,30,1059,130.75,"First Hawaiian Center","steel","Honolulu",1592,"US",163,-157.861557,21.30787086,9322
"74",1927,1,26,1064,130.4600067,"Bank of America Building","steel","Providence",1664,"US",163,-71.41111755,41.82447815,9608
"75",1998,1,26,1116,128.6300049,"Wells Fargo Center","steel","Salt Lake City",1687,"US",163,-111.8906403,40.76337814,9550
"76",1986,1,31,1143,127.4100037,"Oakbrook Terrace Tower","composite","Oakbrook",1642,"US",163,-87.95448303,41.85823822,9792
"77",2000,1,40,1154,127.0999985,"Hidden Bay 1","concrete","Aventura",1511,"US",163,-80.13352966,25.95178032,10287
"78",1976,1,44,1163,126.5,"Galaxy Towers 1","concrete","Guttenberg",1584,"US",163,-73.99965668,40.79093933,12753
"79",1976,1,44,1163,126.5,"Galaxy Towers 2","concrete","Guttenberg",1584,"US",163,-73.99971008,40.7909584,12754
"80",1976,1,44,1163,126.5,"Galaxy Towers 3","concrete","Guttenberg",1584,"US",163,-73.99960327,40.7910614,12755
"81",1995,2,38,1189,125,"Silver Legacy Resort & Casino","concrete","Reno",1672,"US",163,-119.8162003,39.53004837,9610
"82",1987,1,30,1195,124.9700012,"Lexington Financial Center","steel","Lexington",1614,"US",163,-84.49906921,38.04756165,9470
"83",2002,1,30,1204,124.5,"The Plaza in Clayton Residential Tower","concrete","Clayton",1542,"US",163,-90.33215332,38.64789963,10286
"84",2008,1,34,1219,123.8000031,"River House Condominiums","concrete","Grand Rapids",1582,"US",163,-85.67684937,42.97077179,9486
"85",1971,1,30,1222,123.5500031,"Kettering Tower","steel","Dayton",1555,"US",163,-84.19122314,39.76094055,9483
"86",2008,1,25,1245,122.5999985,"US Bank Tower","steel","Sacramento",1676,"US",163,-121.4991302,38.57868958,12732
"87",1975,1,32,1247,122.3799973,"3000 Town Center","steel","Southfield",1682,"US",163,-83.24629974,42.47800827,10624
"88",2014,1,0,1255,122.0899963,"New England SkyScreamer","steel","Agawam",2202,"US",163,-72.61525726,42.04124069,17494
"89",1978,1,42,1257,122,"Tiara Condominiums","concrete","Riviera Beach",1668,"US",163,-80.03328705,26.7869091,10331
"90",1970,1,30,1273,121.9199982,"Tower on the Maumee","steel","Toledo",1701,"US",163,-83.5351181,41.65039825,9573
"91",1932,1,22,1293,121.2099991,"Nebraska State Capitol","steel","Lincoln (NE)",1617,"US",163,-96.69970703,40.80805969,9741
"92",1989,1,30,1298,121,"One World Trade Center","concrete","Long Beach",1615,"US",163,-118.1997681,33.76784897,9919
"93",1991,1,26,1317,120.4000015,"The Gallagher Centre","concrete","Itasca",1603,"US",163,-88.01499176,41.9872818,15318
"94",1972,1,30,1340,118.8700027,"AT&T City Center","steel","Birmingham (AL)",1518,"US",163,-86.8111496,33.51865005,10282
"95",1972,1,30,1340,118.8700027,"Regions Center","composite","Birmingham (AL)",1518,"US",163,-86.80899048,33.51799011,10284
"96",1930,1,34,1351,118.2600021,"Alfred E. Smith State Office Building","steel","Albany",1503,"US",163,-73.75977325,42.65396881,9479
"97",2014,1,30,1363,117.8099976,"1812 North Moore Street","concrete","Arlington",1506,"US",163,-77.07203674,38.89646149,15735
"98",1986,1,29,1385,116.7399979,"Otis Research Center","steel","Bristol (CT)",1515,"US",163,-72.91545868,41.65248871,12189
"99",2007,1,27,1388,116.4100037,"The Beach Club","concrete","Galveston",1581,"US",163,-94.75409698,29.31608009,10917
"100",2007,1,27,1388,116.4100037,"The Trade Winds","concrete","Galveston",1581,"US",163,-94.75466156,29.31587982,10916
"101",2009,1,36,1394,116.0999985,"Signature Place","concrete","St. Petersburg (FL)",1660,"US",163,-82.6344986,27.76979065,20965
"102",1988,1,24,1396,116.0500031,"8500 Tower","concrete","Bloomington",1526,"US",163,-93.35668945,44.85359955,10471
"103",1975,1,43,1397,116,"Century Park Plaza Tower A","concrete","Pearl City (Oahu)",2190,"US",163,-157.980072,21.39748955,17104
"104",1975,1,43,1397,116,"Century Park Plaza Tower B","concrete","Pearl City (Oahu)",2190,"US",163,-157.9793549,21.39864922,17105
"105",1931,1,32,1419,115.2200012,"Buffalo City Hall","steel","Buffalo",1530,"US",163,-78.87931824,42.88660812,9262
"106",1931,1,18,1473,113.0800018,"Camden City Hall","steel","Camden",1538,"US",163,-75.12004089,39.94483185,10285
"107",1999,1,25,1581,107.5999985,"Glendale Plaza","steel","Glendale",1606,"US",163,-118.258522,34.1556015,15317
"108",1996,1,24,1584,107.3000031,"Cozumel at Cape Marco in Marco Island","concrete","Marco Island",2312,"US",163,-81.72881317,25.9095192,20951
"109",2007,1,33,1678,103.9400024,"High Point I","concrete","Fort Myers",1575,"US",163,-81.87699127,26.64056015,10339
"110",1985,1,30,1700,103.0199966,"Hilton Alexandria Mark Center","concrete","Alexandria (VA)",1513,"US",163,-77.11743927,38.83296967,10149
"111",1970,1,25,1706,103,"Wells Fargo Plaza","concrete","Tacoma",1698,"US",163,-122.4374466,47.25212097,13221
"112",1998,2,32,1723,102.1100006,"Imperial Palace Casino Hotel","concrete","Biloxi",1522,"US",163,-88.89067841,30.41197968,10067
"113",1974,1,26,1743,101.5,"Bank of America Center","steel","Richmond",1670,"US",163,-77.43463898,37.53636932,10617
"114",1972,1,21,1756,101.1999969,"Martin Tower","steel","Bethlehem",1517,"US",163,-75.39438629,40.63179016,10049
"115",1986,1,32,1766,100.5999985,"Trump Plaza I","concrete","West Palm Beach",1655,"US",163,-80.05158234,26.70850945,20973
"116",1986,1,32,1766,100.5999985,"Trump Plaza II","concrete","West Palm Beach",1655,"US",163,-80.05162811,26.70800972,20974
"117",1931,1,27,1774,100.5899963,"FirstMerit Tower","steel","Akron",1502,"US",163,-81.51846313,41.08240128,9467
"118",1988,1,23,1777,100.5899963,"1201 North Market Street","steel","Wilmington",1599,"US",163,-75.54662323,39.74781036,9746
"119",1986,1,23,1777,100.5899963,"UniSource Energy Tower","steel","Tucson",1707,"US",163,-110.9718933,32.22148132,9789
